t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519830152,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,1.664026,3.923241,4.455696,4.551376,calls/second,milliseconds
1519830153,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,1.604982,3.923241,4.455696,4.551376,calls/second,milliseconds
1519830153,10,13.478456,9.203852,7.621106,1.818723,8.138814,10.199734,13.478456,13.478456,13.478456,13.478456,2.958800,0.000000,0.000000,0.000000,calls/second,milliseconds
1519830153,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,1.560229,3.923241,4.455696,4.551376,calls/second,milliseconds
1519831105,30,3014.703770,368.448863,16.417047,580.068364,231.611423,439.625783,1782.672291,3014.703770,3014.703770,3014.703770,3.119701,1.800000,1.800000,1.800000,calls/second,milliseconds
1519831106,30,3014.703770,368.448863,16.417047,580.068364,231.611423,439.625783,1782.672291,3014.703770,3014.703770,3014.703770,3.053951,1.800000,1.800000,1.800000,calls/second,milliseconds
1519831106,30,3014.703770,368.448863,16.417047,580.068364,231.611423,439.625783,1782.672291,3014.703770,3014.703770,3014.703770,2.989215,1.991893,1.839669,1.813296,calls/second,milliseconds
1519831160,29,551.140492,215.224290,16.100051,173.930378,218.894657,409.501323,446.471078,551.140492,551.140492,551.140492,4.132954,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831160,29,551.140492,215.224290,16.100051,173.930378,218.894657,409.501323,446.471078,551.140492,551.140492,551.140492,4.024391,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831161,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,3.742642,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831161,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,3.654325,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831162,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,3.325310,4.000000,4.000000,4.000000,calls/second,milliseconds
