t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519833411,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.276241,0.238620,0.061793,0.021655,calls/second,milliseconds
1519833413,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.266533,0.219541,0.060772,0.021535,calls/second,milliseconds
1519833414,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.264725,0.219541,0.060772,0.021535,calls/second,milliseconds
1519833498,20,1647.834246,411.950346,6.470008,370.456852,432.484828,495.968902,1647.834246,1647.834246,1647.834246,1647.834246,0.495270,0.462481,0.413166,0.404426,calls/second,milliseconds
1519833570,10,551.860416,455.057539,416.047049,38.738683,440.373651,463.113476,551.860416,551.860416,551.860416,551.860416,0.292646,0.487608,0.574255,0.591215,calls/second,milliseconds
1519833571,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.277166,0.448621,0.564763,0.587940,calls/second,milliseconds
1519833575,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.276722,0.448621,0.564763,0.587940,calls/second,milliseconds
1519833575,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272170,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272154,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272138,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272120,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.268591,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833577,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.262007,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833579,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.255257,0.428743,0.558734,0.585791,calls/second,milliseconds
